"","new_pcon","con","lab","ld","grn","brx","pc","snp","other","total_votes","con_pct","lab_pct","ld_pct","grn_pct","brx_pct","pc_pct","snp_pct","other_pct","winning_pct","winner"
"74","Braintree CC",34467.89450755,9413.63233648233,5446.43088092214,350.787337897873,0,0,0,1984.2019725216,51662.947035374,0.667168570231768,0.182212453541157,0.105422380902757,0.00678992117228014,0,0,0,0.0384066741520379,0.667168570231768,"Con"
"75","Brecon, Radnor and Cwm-tawe",24643.5446366755,8773.3170633593,15260.1955071492,247.282569281523,1061.10896049576,1887.07039963485,0,801.840428643056,52674.3595652392,0.467847067151402,0.166557640866866,0.289708230590802,0.00469455293472062,0.0201446960011263,0.0358252177190239,0,0.0152225947360584,0.467847067151402,"Con"
"76","Brentford and Isleworth BC",15897.7677076199,26864.6923910829,5312.15781812544,1328.02571509201,1162.63733207003,0,0,0,50565.2809639903,0.314400857753394,0.53128731570214,0.105055439559576,0.0262635881730343,0.0229927988118566,0,0,0,0.53128731570214,"Lab"
"77","Brentwood and Ongar CC",36169.8477739542,7234.44685777623,7154.5933140257,1664.0735968966,0,0,0,530.394918134939,52753.3564607877,0.685640690954703,0.137137186013059,0.135623471074183,0.0315444117405786,0,0,0,0.0100542402174768,0.685640690954703,"Con"
"78","Bridgend",16919.3405393224,23983.4867751309,2146.28210971552,879.37118739431,3253.63842089073,2946.06559079409,0,0,50128.1846232479,0.337521509435945,0.47844315439279,0.0428158754570207,0.0175424503002346,0.0649063684500913,0.0587706419639183,0,0,0.47844315439279,"Lab"
"79","Bridgwater CC",27679.9086589808,9736.40344731671,5067.1781166121,860.989472669525,0,0,0,662.097251515876,44006.576947095,0.62899481348567,0.221248825124978,0.11514592745316,0.0195650180586555,0,0,0,0.015045415877537,0.62899481348567,"Con"
"80","Bridlington and The Wolds CC",30392.3577834369,10324.6116032004,3086.35197759667,1411.94820195664,0,0,0,1465.1294801089,46680.3990462995,0.651073221402682,0.221176592619957,0.0661166579689154,0.0302471322183046,0,0,0,0.0313863957901415,0.651073221402682,"Con"
"81","Brigg and Immingham CC",32817.4079104797,9105.79297874553,2847.90861007243,1363.41341555263,154.698141547515,0,0,29.6777670881428,46318.898823486,0.708510105897415,0.196589150649852,0.0614848081973053,0.0294353590042887,0.00333984929428147,0,0,0.000640726956857071,0.708510105897415,"Con"
"82","Brighton Kemptown BC",17084.5025949708,25560.8275799218,2964,3103.86583047482,1361.82952584668,0,0,18.8149447168634,50093.8404759309,0.341049966076758,0.510258892851372,0.0591689511492764,0.0619610275631825,0.0271855683834226,0,0,0.000375593975987998,0.510258892851372,"Lab"
"83","Brighton Pavilion BC",10063.4974050292,12683.1724200782,0,32284.1341695252,735.170474153316,0,0,671.185055283137,56437.1595240691,0.178313322107173,0.224730878148982,0,0.572036836045173,0.0130263549823017,0,0,0.0118926087163705,0.572036836045173,"Grn"
"84","Bristol Central BC",6844.51338868997,27334.5812749135,0,14948.4614183251,500.758670547071,0,0,0,49628.3147524756,0.137915490840812,0.550786006158913,0,0.301208322162086,0.0100901808381896,0,0,0,0.550786006158913,"Lab"
"85","Bristol East BC",15019.9353141454,33344.4717170372,2668.22958347902,3444.65453599116,1752.18520644802,0,0,0,56229.4763571007,0.267118534392125,0.593006975652306,0.0474525063426465,0.0612606547163082,0.0311613288966143,0,0,0,0.593006975652306,"Lab"
"86","Bristol North East BC",18015.5164386012,27272.2342027664,2867.33234501635,1583.86438007988,663.509682713068,0,0,165.335049977364,50567.7920991544,0.356264643773176,0.53932024853469,0.0567027395499891,0.0313216044112468,0.0131211914772163,0,0,0.00326957225368217,0.53932024853469,"Lab"
"87","Bristol North West BC",21148.3816803958,26673.9155271404,4712.12010620313,3741.44855123325,62.3180756117471,0,0,0,56338.1839405843,0.375382736914264,0.473460691513795,0.0836399006253495,0.0664105281629078,0.00110614278368414,0,0,0,0.473460691513795,"Lab"
"88","Bristol South BC",15876.253848275,24608.8609719388,3601.55211434971,2421.36173141357,2096.2283646801,0,0,0,48604.2570306572,0.326643278144567,0.506310814635368,0.074099519967521,0.0498178941380853,0.0431284931144591,0,0,0,0.506310814635368,"Lab"
"89","Broadland and Fakenham CC",31541.8363546919,10934.4907475264,8601.41889337704,1316.07118657583,0,0,0,335.835262285404,52729.6524444566,0.598180243799575,0.207368913706465,0.163122996163069,0.0249588443231659,0,0,0,0.00636900200772536,0.598180243799575,"Con"
"90","Bromley and Biggin Hill BC",27595.1427702963,12862.0792559848,7576.82373319452,1977.56430562949,0,0,0,181.275050434987,50192.8851155401,0.549781960267365,0.256253037185994,0.150954138534839,0.0393992953598362,0,0,0,0.00361156865196542,0.549781960267365,"Con"
"91","Bromsgrove CC",34408,11302,6779,1783,0,0,0,0,54272,0.633991745283019,0.208247346698113,0.124907871462264,0.0328530365566038,0,0,0,0,0.633991745283019,"Con"
"92","Broxbourne CC",31735.9250156373,11383.0749246411,3875.12604769881,1432.56458842673,0,0,0,94.7025712665811,48521.3931476705,0.65406046605158,0.234599095083641,0.079864278338118,0.0295243911086157,0,0,0,0.0019517694180454,0.65406046605158,"Con"
"93","Broxtowe CC",23658.8858378104,19362.9920141021,212.641947460205,1511.02176431589,338.266742855794,0,0,6001.20653242426,51085.0148389687,0.463127708044883,0.379034675337544,0.0041625112203745,0.0295785715063207,0.00662164323377582,0,0,0.117474890657102,0.463127708044883,"Con"
"94","Buckingham and Bletchley CC",28035.2788823418,12508.0196349559,7806.54826624733,509.84617628419,477.643388985117,0,0,643.462189795774,49980.7985386101,0.560920987700599,0.250256498508991,0.156190947213794,0.0102008409467555,0.00955653776952239,0,0,0.012874187860338,0.560920987700599,"Con"
"95","Burnley CC",19176.2154121209,17224.9541349836,3700.79710849998,815.88288574626,3362,0,0,1336.39170744272,45616.2412487935,0.420381313478521,0.377605731279738,0.081128935817303,0.0178857982028022,0.073701819965031,0,0,0.0292964012566044,0.420381313478521,"Con"
"96","Burton CC",29560,15064,2681,1433,0,0,0,0,48738,0.606508268702039,0.309081209733678,0.0550084123271369,0.0294021092371456,0,0,0,0,0.606508268702039,"Con"
"97","Bury North BC",24508.3712887894,23868.8175890408,1792.59015147366,905.033746500116,1504.39593494613,0,0,297.712725816482,52876.9214365666,0.463498453066915,0.451403314349056,0.0339011822695489,0.017115855498241,0.0284508986921803,0,0,0.00563029612405916,0.463498453066915,"Con"
"98","Bury South BC",22119.6495805962,20996.7370941839,2445.64050583381,844.904735023069,1545.66463604613,0,0,1475.28727418352,49427.8838258667,0.447513586835383,0.42479538812859,0.0494789644333095,0.017093686187328,0.031271106841059,0,0,0.0298472675743295,0.447513586835383,"Con"
"99","Bury St Edmunds CC",30709.276020928,11588.7465607328,801.048921338207,7362.47895705149,0,0,0,1272.48029246548,51734.030752516,0.593599137245546,0.224006256465318,0.0154839843268785,0.142314040679953,0,0,0,0.0245965812823041,0.593599137245546,"Con"
"100","Caerfyrddin",20853.4720578011,13675.0179631087,710.832718681104,0,1906.24484949169,16874.269384548,0,0,54019.8369736307,0.386033598509018,0.25314807909887,0.0131587349852257,0,0.0352878674999003,0.312371719906986,0,0,0.386033598509018,"Con"
"101","Caerphilly",12670.3936522927,19487.2002756166,319.136141135181,148.775663927462,5026.23241983482,6676.63334739979,0,0,44328.3715002066,0.28583034349082,0.439610110096776,0.0071993653349908,0.00335621767487598,0.113386353924854,0.150617609477683,0,0,0.439610110096776,"Lab"
"102","Caithness, Sutherland and Easter Ross",9013.04393009027,3223.51637360959,15726.5736021468,77.2286181828551,1421.03218330234,0,19704.8236176676,337.270293249501,49503.488618249,0.182068863865237,0.0651169536447836,0.317686168007751,0.00156006415584993,0.0287056977794184,0,0.39804919143423,0.00681306111273075,0.39804919143423,"SNP"
